序号,名称,类型,上映日期,片长,评分,收入（百万）
1,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,121,8.1,333.13
2,Prometheus,"Adventure,Mystery,Sci-Fi",2012,124,7,126.46
3,Split,"Horror,Thriller",2016,117,7.3,138.12
4,Sing,"Animation,Comedy,Family",2016,108,7.2,270.32
5,Suicide Squad,"Action,Adventure,Fantasy",2016,123,6.2,325.02
6,The Great Wall,"Action,Adventure,Fantasy",2016,103,6.1,45.13
7,La La Land,"Comedy,Drama,Music",2016,128,8.3,151.06
8,Mindhorn,Comedy,2016,89,6.4,
9,The Lost City of Z,"Action,Adventure,Biography",2016,141,7.1,8.01
10,Passengers,Adventure|Drama|Romance,2016,116,7,100.01
11,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,133,7.5,234.02
12,Hidden Figures,"Biography,Drama,History",2016,127,7.8,169.27
13,Rogue One,"Action,Adventure,Sci-Fi",2016,133,7.9,532.17
14,Moana,"Animation,Adventure,Comedy",2016,107,7.7,248.75
15,Colossal,"Action,Comedy,Drama",2016,109,6.4,2.87
16,The Secret Life of Pets,"Animation,Adventure,Comedy",2016,87,6.6,368.31
17,Hacksaw Ridge,"Biography,Drama,History",2016,139,8.2,
18,Jason Bourne,"Action,Thriller",2016,123,6.7,162.16
19,Lion,"Biography,Drama",2016,118,8.1,51.69
20,Arrival,Drama|Mystery|Sci-Fi,2016,116,8,100.5
21,Gold,"Adventure,Drama,Thriller",2016,120,6.7,7.22
22,Manchester by the Sea,Drama,2016,137,7.9,47.7
23,Hounds of Love,"Crime,Drama,Horror",2016,108,6.7,
24,Trolls,"Animation,Adventure,Comedy",2016,92,6.5,153.69
25,Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,120,5.3,103.14
26,Paris pieds nus,Comedy,2016,83,6.8,
27,Bahubali: The Beginning,"Action,Adventure,Drama",2015,159,8.3,6.5
28,Dead Awake,"Horror,Thriller",2016,99,4.7,0.01
29,Bad Moms,Comedy,2016,100,6.2,113.08
30,Assassin's Creed,Action|Adventure|Drama,2016,115,5.9,54.65
31,Why Him?,Comedy,22016,111,6.3,60.31
32,Nocturnal Animals,"Drama,Thriller",2016,116,7.5,10.64
33,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,144,7.1,155.33
34,Deadpool,"Action,Adventure,Comedy",2016,108,8,363.02
35,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,107,5.6,26.84
36,Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,147,7.9,408.08
37,Interstellar,"Adventure,Drama,Sci-Fi",2014,169,8.6,187.99
38,Doctor Strange,"Action,Adventure,Fantasy",2016,115,7.6,232.6
39,The Magnificent Seven,"Action,Adventure,Western",2016,132,6.9,93.38
40,,"Comedy,Drama",2007,113,7.1,
41,Sausage Party,"Animation,Adventure,Comedy",2016,89,6.3,97.66
42,Moonlight,Drama,2016,111,7.5,27.85
43,Don't Fuck in the Woods,Horror,2016,73,2.7,
44,The Founder,"Biography,Drama,History",2016,115,7.2,12.79
45,Lowriders,Drama,2016,99,6.3,4.21
46,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,136,6.7,241.06
47,Miss Sloane,"Drama,Thriller",2016,132,7.3,3.44
48,Fallen,"Adventure,Drama,Fantasy",2016,91,5.6,
49,Star Trek Beyond,"Action,Adventure,Sci-Fi",2016,122,7.1,158.8
50,The Last Face,Drama,2016,130,3.7,
51,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",2015,136,8.1,936.63
52,Underworld: Blood Wars,"Action,Adventure,Fantasy",2016,91,5.8,30.35
53,Mother's Day,"Comedy,Drama",2016,118,5.6,32.46
54,John Wick,"Action,Crime,Thriller",2014,101,7.2,43
55,The Dark Knight,"Action,Crime,Drama",2008,152,9,533.32
56,Silence,"Adventure,Drama,History",2016,161,7.3,7.08
57,Don't Breathe,"Crime,Horror,Thriller",2016,88,7.2,89.21
58,Me Before You,"Drama,Romance",2016,106,7.4,56.23
59,Their Finest,"Comedy,Drama,Romance",2016,117,7,3.18
60,Sully,"Biography,Drama",2016,96,7.5,125.07
61,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,151,6.7,330.25
62,The Autopsy of Jane Doe,"Horror,Mystery,Thriller",2016,86,6.8,
63,The Girl on the Train,"Crime,Drama,Mystery",2016,112,6.5,75.31
64,Fifty Shades of Grey,"Drama,Romance,Thriller",2015,125,4.1,166.15
65,The Prestige,"Drama,Mystery,Sci-Fi",2006,130,8.5,53.08
66,Kingsman: The Secret Service,"Action,Adventure,Comedy",2014,129,7.7,128.25
67,Patriots Day,"Drama,History,Thriller",2016,133,7.4,31.86
68,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,120,8.1,153.63
69,Wakefield,Drama,2016,106,7.5,0.01
70,Deepwater Horizon,"Action,Drama,Thriller",2016,107,7.2,61.28
71,The Promise,"Drama,History",2016,133,5.9,
72,Allied,"Action,Drama,Romance",2016,124,7.1,40.07
73,A Monster Calls,"Drama,Fantasy",2016,108,7.5,3.73
74,Collateral Beauty,"Drama,Romance",2016,97,6.8,30.98
75,Zootopia,"Animation,Adventure,Comedy",2016,108,8.1,341.26
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,169,7.1,309.4
77,The Avengers,"Action,Sci-Fi",2012,143,8.1,623.28
78,Inglourious Basterds,"Adventure,Drama,War",2009,153,8.3,120.52
79,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,151,7.3,423.03
80,Ghostbusters,"Action,Comedy,Fantasy",2016,116,5.3,128.34
81,Inception,"Action,Adventure,Sci-Fi",2010,148,8.8,292.57
82,Captain Fantastic,"Comedy,Drama",2016,118,7.9,5.88
83,The Wolf of Wall Street,"Biography,Comedy,Crime",2013,180,8.2,116.87
84,Gone Girl,"Crime,Drama,Mystery",2014,149,8.1,167.74
85,Furious Seven,"Action,Crime,Thriller",2015,137,7.2,350.03
86,Jurassic World,"Action,Adventure,Sci-Fi",2015,124,7,652.18
87,Live by Night,"Crime,Drama",2016,129,6.4,10.38
88,Avatar,"Action,Adventure,Fantasy",2009,162,7.8,760.51
89,The Hateful Eight,"Crime,Drama,Mystery",2015,187,7.8,54.12
90,The Accountant,"Action,Crime,Drama",2016,128,7.4,86.2
91,Prisoners,"Crime,Drama,Mystery",2013,153,8.1,60.96
92,Warcraft,"Action,Adventure,Fantasy",2016,123,7,47.17
93,The Help,Drama,2011,146,8.1,169.71
94,War Dogs,"Comedy,Crime,Drama",2016,114,7.1,43.02
95,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015,141,7.4,458.99
96,The Nice Guys,"Action,Comedy,Crime",2016,116,7.4,36.25
97,Kimi no na wa,"Animation,Drama,Fantasy",2016,106,8.6,4.68
98,The Void,"Horror,Mystery,Sci-Fi",2016,90,5.8,0.15
99,Personal Shopper,"Drama,Mystery,Thriller",2016,105,6.3,1.29
100,,"Crime,Drama,Thriller",2006,151,8.5,132.37
101,Legend,"Biography,Crime,Drama",2015,132,7,1.87
102,Thor,"Action,Adventure,Fantasy",2011,115,7,181.02
103,The Martian,"Adventure,Drama,Sci-Fi",2015,144,8,228.43
104,Contratiempo,"Crime,Mystery,Thriller",2016,106,7.9,
105,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",2015,116,7.3,45.43
106,Hell or High Water,"Crime,Drama,Thriller",2016,102,7.7,26.86
107,The Comedian,Comedy,2016,120,5.4,1.66
108,The Legend of Tarzan,"Action,Adventure,Drama",2016,110,6.3,126.59
109,All We Had,Drama,2016,105,5.8,
110,Ex Machina,"Drama,Mystery,Sci-Fi",2014,108,7.7,25.44
111,The Belko Experiment,"Action,Horror,Thriller",2016,89,6.3,10.16
112,12 Years a Slave,"Biography,Drama,History",2013,134,8.1,56.67
113,The Bad Batch,"Romance,Sci-Fi",2016,118,6.1,
114,300,"Action,Fantasy,War",2006,117,7.7,210.59
115,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",2011,130,8.1,380.96
116,Office Christmas Party,Comedy,2016,105,5.8,54.73
117,The Neon Demon,"Horror,Thriller",2016,118,6.2,1.33
118,Dangal,"Action,Biography,Drama",2016,161,8.8,11.15
119,10 Cloverfield Lane,"Drama,Horror,Mystery",2016,104,7.2,71.9
120,Finding Dory,"Animation,Adventure,Comedy",2016,97,7.4,486.29
121,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",2016,127,6.7,87.24
122,Divergent,"Adventure,Mystery,Sci-Fi",2014,139,6.7,150.83
123,Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",2016,98,6,46.01
124,Boyka: Undisputed IV,Action,2016,86,7.4,
125,The Dark Knight Rises,"Action,Thriller",2012,164,8.5,448.13
126,The Jungle Book,"Adventure,Drama,Family",2016,106,7.5,364
127,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",2014,165,5.7,245.43
128,Nerve,"Adventure,Crime,Mystery",2016,96,6.6,38.56
129,Mamma Mia!,"Comedy,Family,Musical",2008,108,6.4,143.7
130,The Revenant,"Adventure,Drama,Thriller",2015,156,8,183.64
131,Fences,Drama,2016,139,7.3,57.64
132,Into the Woods,"Adventure,Comedy,Drama",2014,125,6,128
133,The Shallows,"Drama,Horror,Thriller",2016,86,6.4,55.12
134,Whiplash,"Drama,Music",2014,107,8.5,13.09
135,Furious 6,"Action,Crime,Thriller",2013,130,7.1,238.67
136,The Place Beyond the Pines,"Crime,Drama,Thriller",2012,140,7.3,21.38
137,No Country for Old Men,"Crime,Drama,Thriller",2007,122,8.1,74.27
138,The Great Gatsby,"Drama,Romance",2013,143,7.3,144.81
139,Shutter Island,"Mystery,Thriller",2010,138,8.1,127.97
140,Brimstone,"Mystery,Thriller,Western",2016,148,7.1,
141,Star Trek,"Action,Adventure,Sci-Fi",2009,127,8,257.7
142,Diary of a Wimpy Kid,"Comedy,Family",2010,94,6.2,64
143,The Big Short,"Biography,Comedy,Drama",2015,130,7.8,70.24
144,Room,Drama,2015,118,8.2,14.68
145,Django Unchained,"Drama,Western",2012,165,8.4,162.8
146,Ah-ga-ssi,"Drama,Mystery,Romance",2016,144,8.1,2.01
147,The Edge of Seventeen,"Comedy,Drama",2016,104,7.4,14.26
148,Watchmen,"Action,Drama,Mystery",2009,162,7.6,107.5
149,Superbad,Comedy,2007,113,7.6,121.46
150,Inferno,"Action,Adventure,Crime",2016,121,6.2,34.26
151,The BFG,"Adventure,Family,Fantasy",2016,117,6.4,55.47
152,The Hunger Games,"Adventure,Sci-Fi,Thriller",2012,142,7.2,408
153,White Girl,Drama,2016,88,5.8,0.2
154,Sicario,"Action,Crime,Drama",2015,121,7.6,46.88
155,Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery",2014,91,8.1,
156,Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi",2007,94,4.7,41.8
157,Pacific Rim,"Action,Adventure,Sci-Fi",2013,131,7,101.79
158,"Crazy, Stupid, Love.","Comedy,Drama,Romance",2011,118,7.4,84.24
159,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",2010,112,7.5,31.49
160,Hot Fuzz,"Action,Comedy,Mystery",2007,121,7.9,23.62
161,Mine,"Thriller,War",2016,106,6,
162,Free Fire,"Action,Comedy,Crime",2016,90,7,1.8
163,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",2014,132,8,233.91
164,Jack Reacher: Never Go Back,"Action,Adventure,Crime",2016,118,6.1,58.4
165,Casino Royale,"Action,Adventure,Thriller",2006,144,8,167.01
166,Twilight,"Drama,Fantasy,Romance",2008,122,5.2,191.45
167,Now You See Me 2,"Action,Adventure,Comedy",2016,129,6.5,65.03
168,Woman in Gold,"Biography,Drama,History",2015,109,7.3,33.31
169,13 Hours,"Action,Drama,History",2016,144,7.3,52.82
170,Spectre,"Action,Adventure,Thriller",2015,148,6.8,200.07
171,Nightcrawler,"Crime,Drama,Thriller",2014,118,7.9,32.28
172,Kubo and the Two Strings,"Animation,Adventure,Family",2016,101,7.9,48.02
173,Beyond the Gates,"Adventure,Horror",2016,84,5.2,
174,Her,"Drama,Romance,Sci-Fi",2013,126,8,25.56
175,Frozen,"Animation,Adventure,Comedy",2013,102,7.5,400.74
176,Tomorrowland,"Action,Adventure,Family",2015,130,6.5,93.42
177,Dawn of the Planet of the Apes,"Action,Adventure,Drama",2014,130,7.6,208.54
178,Tropic Thunder,"Action,Comedy",2008,107,7,110.42
179,The Conjuring 2,"Horror,Mystery,Thriller",2016,134,7.4,102.46
