名称,类型,上映时间,片长,评分,收入(百万)
Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,121,8.1,333.13
Prometheus,"Adventure,Mystery,Sci-Fi",2012,124,7,126.46
Split,"Horror,Thriller",2016,117,7.3,138.12
Sing,"Animation,Comedy,Family",2016,108,7.2,270.32
Suicide Squad,"Action,Adventure,Fantasy",2016,123,6.2,325.02
The Great Wall,"Action,Adventure,Fantasy",2016,103,6.1,45.13
La La Land,"Comedy,Drama,Music",2016,128,8.3,151.06
The Lost City of Z,"Action,Adventure,Biography",2016,141,7.1,8.01
Passengers,"Adventure,Drama,Romance",2016,116,7,100.01
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,133,7.5,234.02
Hidden Figures,"Biography,Drama,History",2016,127,7.8,169.27
Rogue One,"Action,Adventure,Sci-Fi",2016,133,7.9,532.17
Moana,"Animation,Adventure,Comedy",2016,107,7.7,248.75
Colossal,"Action,Comedy,Drama",2016,109,6.4,2.87
The Secret Life of Pets,"Animation,Adventure,Comedy",2016,87,6.6,368.31
Jason Bourne,"Action,Thriller",2016,123,6.7,162.16
Lion,"Biography,Drama",2016,118,8.1,51.69
Arrival,"Drama,Mystery,Sci-Fi",2016,116,8,100.5
Gold,"Adventure,Drama,Thriller",2016,120,6.7,7.22
Manchester by the Sea,Drama,2016,137,7.9,47.7
Trolls,"Animation,Adventure,Comedy",2016,92,6.5,153.69
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,120,5.3,103.14
Bahubali: The Beginning,"Action,Adventure,Drama",2015,159,8.3,6.5
Dead Awake,"Horror,Thriller",2016,99,4.7,0.01
Bad Moms,Comedy,2016,100,6.2,113.08
Assassin's Creed,"Action,Adventure,Drama",2016,115,5.9,54.65
Nocturnal Animals,"Drama,Thriller",2016,116,7.5,10.64
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,144,7.1,155.33
Deadpool,"Action,Adventure,Comedy",2016,108,8,363.02
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,107,5.6,26.84
Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,147,7.9,408.08
Interstellar,"Adventure,Drama,Sci-Fi",2014,169,8.6,187.99
